rank,community_id,name,size,density,avg_shared_playlists,unique_playlists,avg_log_ratio_per_24h,avg_pct_growth_per_24h,total_log_ratio,total_pct_growth,top_artist,top_themes
47,46,2026 | tony | boy | 2025,87,0.33172948409516173,43.871071716357775,51,0.013853849579600884,1.443211454679147,1.205284913425277,125.55939655708579,Tony Boy,"2026, tony, boy, 2025, canzoni"
48,47,que | los | viral,86,0.3893296853625171,307.84820801124386,179,0.009725991261845108,0.9892778394707871,0.8364352485186793,85.07789419448768,Stidlmusic,"que, los, viral"
49,48,2026 | gym | motivation | workout,84,0.9747561675272519,84.2130665097116,131,0.01653074109132359,1.7461454654984119,1.3885822516711814,146.6762191018666,HAVEN.,"2026, gym, motivation, workout, pump"
50,49,house | jazz | vibes | bar,81,0.4808641975308642,32.913992297817714,78,0.0041614427840873615,0.41806554045698796,0.3370768655110763,33.86330877701602,Bolden.,"house, jazz, vibes, bar, lounge"
51,50,2025 | copyright | free | ncs,80,0.9177215189873418,41.10068965517242,46,0.004916188632465911,0.49569611812182146,0.3932950905972729,39.655689449745715,Cartoon,"2025, copyright, free, ncs, soundtrack"
52,51,opm | rock | rakista | reimagined,79,0.997078870496592,63.48046875,13,0.026114621121108662,2.7172385602342324,2.0630550685675844,214.66184625850437,The Seal Voices,"opm, rock, rakista, reimagined, 2026"
53,52,cumbiera | sangre | mix | cumbia,73,0.9159056316590564,50.472787702534276,46,0.006524901837334204,0.6561721899806932,0.4763178341253969,47.9005698685906,Sangre Cumbiera,"cumbiera, sangre, mix, cumbia, 2026"
54,53,baby | dormir | 2026 | einschlafmusik,70,0.8571428571428571,94.01932367149759,20,0.003155354314026052,0.3165009828979028,0.22087480198182363,22.155068802853194,Baby Bears,"baby, dormir, 2026, einschlafmusik, sleep"
55,54,rap | 2026 | ninho | french,68,0.42581211589113255,41.6,59,0.01576326399080162,1.669096816078671,1.0719019513745103,113.49858349334963,Ninho,"rap, 2026, ninho, french, hits"
56,55,신나는 | 90년대 | 발라드 | 90s,64,0.5391865079365079,21.15179392824287,37,0.0033412538761194424,0.33509737803870443,0.2138402480716443,21.446232194477084,PSY,"신나는, 90년대, 발라드, 90s, korean"
