track_id,track_name,artist_name,artist_id,community_id,umap_x,umap_y,playlist_count,log_playlist_count
1tZcw7GtIqviL32bzaKdSo,(Nice Dream),Radiohead,4Z8W4fKeB5YxbusRsdQVPb,13,1.8294388,5.395527,3,1.3862943611198906
43uHeQc9kdMzFAbxCTcgiI,Telegrama,Exaltasamba,6VPRGmbZ0dupZrbwwEDRRw,27,8.473373,-1.662893,14,2.70805020110221
0ee11PpglgT26oqSiBHZjm,Tere Mere Saath,Lucky Ali,2L16nDKTxhFGaDriR2AHTB,10,1.6624776,12.421566,5,1.791759469228055
31GIhpOQpKCzlnuPn03pBQ,Junker's Blues,Champion Jack Dupree,1NnRjWELSLqFONDhwc8VU7,76,1.1325617,5.0171657,3,1.3862943611198906
32SJM4tQyJHsB8rgVtZURn,WASSUP,Young Miko,3qsKSpcV3ncke3hw52JSMB,12,-1.9760971,4.93732,6,1.9459101490553132
5AvN3Yze7qCyKu9mglnW2A,7 Am,Tony Boy,6PsQc21YZU7WNfiODG69Qk,66,6.5030465,-12.472283,3,1.3862943611198906
64TE68KnBhfRpMYI7uwBpl,Kiss 2024 Stabekkrussen (Hjemmesnekk),Sportsalleen,7fOtaGYi9Mrft9xjRXqRAA,40,3.2883027,3.9669342,3,1.3862943611198906
1LbmCSSAV9370FQla0kwPi,Despertar Espiritual,Sat-Chit,4Cru1k3r3v36wCWfcJMK2y,86,10.599717,3.2362514,3,1.3862943611198906
3rXCZRMiMZp0feGcYXpwYX,Cowboy Take Me Away,The Chicks,25IG9fa7cbdmCIy3OnuH57,54,1.80791,3.8138394,8,2.1972245773362196
0qEGLPc8UY9IkXl1oLCOWW,SEQUÊNCIA CUNT (feat. Clementaum),PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,11,6.454233,2.9017558,3,1.3862943611198906
12G0KiYRpmpDOrube9GCa5,Fronteira - Ao Vivo,Ana Castela,2CKOmarVWvWqkNWUatHCex,18,7.6944585,-0.39035258,5,1.791759469228055
20631sGIm2TRZ7LEVS1Wk5,Al Limite (feat. Tony Boy),Tedua,1AgAVqo74e2q4FVvg0xpT7,66,6.4946804,-12.463929,4,1.6094379124341003
1lrwHbZhCXUhb7zI0VcIPA,Keep Away,Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,39,2.2096035,4.6552258,3,1.3862943611198906
3z5yZpGov3lsiFnHa4dR0f,Man on the Middle Cross,Rhett Walker,4ImxhwjNOz0es0voxGHCoP,0,1.5452032,5.1033683,3,1.3862943611198906
50a8bKqlwDEqeiEknrzkTO,ball w/o you,21 Savage,1URnnhqYAYcrqrcwql10ft,3,4.4465575,6.191695,18,2.9444389791664403
58c6US9oMx1ld3C6VoQdfZ,Selamat Tinggal Sayang,Haqiem Rusli,0J1gUosYaFbrSG6FkbE4c7,16,0.29265317,9.733792,3,1.3862943611198906
6JXRMPwnT9ZaLZMz6LcKvz,Alla vill ha mandeln,250 kg kärlek,4zLti6k7kpm9jwOVJv7wtT,6,-4.703295,11.611673,4,1.6094379124341003
