track_id,track_name,artist_name,artist_id,community_id,umap_x,umap_y,playlist_count,log_playlist_count
0WKkodEP0nUBfAqJVYbWNW,Por Pendej0,Santiago Arroyo,6uvBoFUSlKquPBsj8qrSUq,19,17.091757,-3.3108523,35,3.58351893845611
3QffLMyhmzcY9SjjxxCmh3,Emily’s Song,Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,3,9.125766,-0.9826448,8,2.1972245773362196
4ly7INe0YNvJNZYXnp85PH,SPAGHETTI,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,17,9.657529,0.05466635,10,2.3978952727983707
2JKfykXmogl7SkuQMysNV3,lets face it,bunii,6mx3Y8XNLPaS2pjJbQFq3W,39,6.5222225,3.8059523,11,2.4849066497880004
0gQpTmVvkNauZzh5YSIrHY,Take A Sexy Picture Of Me,CMAT,3VBNIRx1LxVdRqOiPgkLwv,4,9.238622,-1.7056872,6,1.9459101490553132
2ATz55UP6o2ZANEa84dx1H,เมื่อไหร่จะบอก,ETC.,1qz5HLBHOge1yHlMVAZ9hO,1,-3.6044104,6.4089274,10,2.3978952727983707
3M8tgrBsH2dFWi5kNtuZ1Y,Busco a Meta,MC Tuto,6aoGgTKGqtsjj48ymcNs4Z,7,10.570454,9.421714,4,1.6094379124341003
102Cmzcn1HdwkosBz0bLTL,Half The World Away,DT James,4a5dX5Y0Q6ib3nR6zzpHwX,18,12.288074,-1.4834237,4,1.6094379124341003
7DQ5wMCCFkFf15p00PoHHh,Nasha,DIPAK NIMAJE,4jr8Uqk2gB737qK7661Ga0,12,14.247738,4.765457,11,2.4849066497880004
5Gyl64c94oVz90z5ka4eDZ,we are all connected,Eleftherios,6z7DDiVB1Cca0P1VcsvxM9,41,28.944416,-3.8208039,4,1.6094379124341003
4eqjuxCylVKJykllp83972,Dieses eine Lied,Jassin,2hRKaY76bYHW5uCvHqbeMh,32,10.175263,-1.9083614,3,1.3862943611198906
3eroa1h2U9wBaYstOqzOKV,Ain't No Sunshine - G-Spliff Remix,Karen Souza,2d5lQo9YQ1DkAsBKTRp7Iu,43,30.846632,0.3058767,4,1.6094379124341003
5k4mTUY21bpEv1sGnBQGiX,Leyendas del Principio,Cuisillos De Arturo Macias,32lXHXuhXtdA2j3IDXNND4,19,16.925367,-3.4063652,13,2.6390573296152584
4qS2KPWvsQzLvRa9oCHw41,You (feat. Travis Scott),Don Toliver,4Gso3d4CscCijv0lmajZWs,3,8.512218,-0.672698,11,2.4849066497880004
51O8EYlnutNjVvFLIE4e2b,Mrs. Summer,Snazzy,7lDQhKVaKvuNDftiiZVrYy,10,11.045543,-2.7387378,4,1.6094379124341003
3N6bMRGQIOVeuwp7lAPvPV,Always Dreaming & Sunday Mornings,Josef Homola,01Mll8wovVOj5XaWVanxkB,69,17.405334,15.1446,12,2.5649493574615367
7xowyoq8GMWVk4vq0ZwS2r,Sunset Coffee & Relaxing Morning,Liam Gray,3nSFyO3JTPhzXGJnR7wI1j,69,17.405352,15.1446295,10,2.3978952727983707
1dtJoUt5MrocAeZNodChwJ,愛情訊息 - 第6波,Claire Kuo,6OiFtK426XJWnOJ2HYlSbf,40,16.794346,-11.121967,4,1.6094379124341003
5txgZ0zHEiuQuwEfbzWa0l,Viver Feliz,Flamha,7lOLfXrHGsOi23UAhshyJh,27,2.011597,-2.9228594,6,1.9459101490553132
6v3aVSYMUOKOoh7Ut70gJ9,Komu miałabym powiedzieć?,Bletka,4QYitR7yrCaf5CLQ09hX1m,8,9.4853735,-2.3839266,3,1.3862943611198906
3zuyI5ikToc3p1Vuw3sALO,Be There With You,Akamas,3pQvaeIhy8MqUbmRaO3Ahe,18,12.273343,-1.4883773,3,1.3862943611198906
4sriJyf3HZ1twInO9dVSrh,Como Yo Te Amé,Orquesta La Identidad,2CF9zZuOFK1HjWzX8vcMAS,70,15.094732,-4.498137,6,1.9459101490553132
43oTuvU5ytp4pQqaNhWOdA,shifting sands,Øneheart,0dgJbQ0bKPyUXco8hEXN7X,41,28.96893,-3.7685366,4,1.6094379124341003
6i2sMdut4jEAKok3RiE0rE,Through It All,Bruklin,4fjAtF6VmMxQHxKI5C3HPO,4,9.363318,-2.0649312,3,1.3862943611198906
0UktmIxizq7Y4K0y98aVxo,Legacy,The Saints,0CE9b5MpyYgJNxa2bNkOMc,0,6.6863146,-4.741949,3,1.3862943611198906
1KMkatBuls9xhZZVX0gays,SUPERMAN,Mishaal Tamer,2NM1t8dMvgeu9Lfl06574g,26,8.846359,-2.1782172,3,1.3862943611198906
24abGdhZMVXU4hPo4GJrgz,MEGA IS DANCE,Sanchezz DJ,4Pm95s0IEvJNmM8yqNtgCe,7,10.1828575,8.451274,7,2.0794415416798357
1uDQ7UqJm8aPe5IfycVriB,Stand By Me - Techno,The Remix Guys,0regODbTxcC0qiBxfcpYH3,0,8.228619,-3.6614695,4,1.6094379124341003
2uFY0PF58YPA3kgWlxjUKI,Daylight,TCTS,1mFGfrveXbpolppPgO29Io,30,10.857515,-4.008597,6,1.9459101490553132
7ocvmMbyrHgJMZRR15eSj0,God Morgen Norge,QC,3guT69GiDCKGw9uJ8dZOYy,20,19.004854,2.9983902,7,2.0794415416798357
7oSph2KvAmw16bmncdKdl3,window,pastel..,2VM31zeBkDu0fcn9bQOFQH,3,8.820296,-0.4040321,3,1.3862943611198906
47296Hsuz6bp8afbaDs2Zg,Care,Clark Rainbow,0rvUlqR9f0HTSxVNIyEw7P,9,6.3200755,1.9663364,7,2.0794415416798357
1ps3tViAI4QH0STzy3HChY,Jang Balikan,Wizz Baker,4PUHVTv6waMpd1JUP7G6n2,16,-0.3586537,0.7135678,3,1.3862943611198906
6jyf0FrKFsxeUohX3wcmVU,Lady (Hear Me Tonight),Dani Vidi,1273CkIB0lP8EWV7OoqiKc,48,8.486657,-6.1766915,5,1.791759469228055
7MCpuTvHwEg4jAzSD3EQoU,Save Your Tears,Sandé,1LPyiIK0Tgl0WtfiNmbE25,23,-23.370502,1.9080784,4,1.6094379124341003
7K8xVIlqqEx4jgGZsMv5SU,Just Once More,Mirko Dukanovic,7GxCVyk1AgOKTicjk8MToh,27,3.3066301,-5.0818076,3,1.3862943611198906
5On7CF20MHgFOYUUlacXbf,Substance,Alok,0NGAZxHanS9e0iNHpR8f2W,8,8.599737,-4.49092,8,2.1972245773362196
6OaQsrmhfyT728ZTpLrKra,Alone in the Night,Tavlı,4zimpMiJxY9JRbG9XcLNrd,27,8.848922,-2.0373642,3,1.3862943611198906
1Zs00RxHcTA6BhoGSm7tI0,Fine Line,Solayne,1OSYviDPXQTukysazHRPdh,10,11.771421,-3.7223449,6,1.9459101490553132
4h9RbW9SAvfiyq9hsVKUym,Una Hora Más,The Rocketman,6ArtT03Hv9H55Y3EVa7d2V,0,7.852499,-4.7026653,8,2.1972245773362196
3W6ugxBJKADQrELeOV8EQ2,Natural,D’MASIV,1hioeMAsVwJ3bvcb9lxBpB,16,-0.04901354,0.8001725,3,1.3862943611198906
2aZht3tyKcriitEwJVdk3W,Pretty Lady,HAWK.,6kGgCcP1pFsfBy9Zj7KZft,0,7.8340235,-3.6151981,4,1.6094379124341003
5zitUgELgSlJaFv1ZGUtpC,กล้าพอไหม,Potato,6RQyog3L4JlA8t8Bf56otE,1,-3.3182366,6.0815907,7,2.0794415416798357
4Iwq23SVTkRJbWUdBXfUv9,I Hate You,h4rtbrkr,3vGd7nWqei0BrHqdSWLvj5,14,6.150818,0.14727171,10,2.3978952727983707
0SVbu8vTED9s6TziofnNJY,Pengarepan,Twentynine,2qcBwl4HXW2OWYkanzzkuL,31,0.0014251126,1.9203229,5,1.791759469228055
7DKgHq2LjcLgkzWFgpukVA,Solo in Brazil,DJ Alveso,4tXIAAgVxSWtYiGgWKHu5h,7,6.1280923,-1.2389026,3,1.3862943611198906
5CV0VXp1GuJ1orvaWcjweh,bang bang bang,kxreker,2yyEupr7e4XZs97RDmG2Wz,14,5.753509,0.20391457,3,1.3862943611198906
6iebUy3MWdOa8weM0WwDIY,Rubi Rose,Kloe,3R3X9yrhI3pNjKqCyxiUz5,7,9.353872,9.114228,3,1.3862943611198906
5660mV6Ke3K0SSIkL0Uz38,Canalla,Hermanos Martínez,4t75tim4RSC1FXQJcHXS4x,5,14.174823,-3.3256838,3,1.3862943611198906
3lAbNEKPPkhZf5FU7LCvS3,my robotic friends,A.J Hendriix,5NNp5Dmegk4eWXp7yZ0QAg,3,7.207501,15.938228,3,1.3862943611198906
1vYVLQ8UlkRfSAxiDUD28G,MAR AQUARELADO,Flame Runner,5bePP411ITzZyWf1QZ2SX4,2,5.2052255,-0.89038926,4,1.6094379124341003
